Heures,Temps
0,1.8355258527324896
1,1.648753740991588
2,1.4556750572670387
3,0.9907094635322746
4,0.8912914249254936
5,0.8614718016239915
6,0.8712847826233048
7,0.8059966191430902
8,0.8287819579897854
9,0.6535129021590987
10,0.6041626603972962
11,1.0176536662045494
12,1.0835178680328326
13,1.5272313091060088
14,1.965371470076996
15,2.1920915658624893
16,2.269578759463176
17,2.3627711704542063
18,2.637596770175837
19,2.4333923059737343
20,2.318978801038455
21,1.9078070845621888
22,2.119131806209356
23,1.7787600811181974
