Heures,Temps
0,0.18520763822624048
1,0.049590294791078245
2,0.022521458846898858
3,0.0060536619164599246
4,0.027760456284160306
5,0.23377454515629773
6,1.1398685647198474
7,1.3146698367135496
8,3.2511364084302956
9,7.455601703476384
10,9.60961657924561
11,9.504873319505059
12,10.375665829216365
13,10.932553441080964
14,10.996098073577098
15,11.778435762613215
16,15.198506804395564
17,13.604625992594515
18,8.681115660542652
19,7.932189043417606
20,7.251869004345134
21,3.2718592075093986
22,1.4876708029437977
23,0.577774175584208
