artist,top
XXXTENTACION,0.8260869565217391
Rebour,1
Lil Wayne,0.84
Dj Weedim,0.9545454545454546
Jón & Jálfur,0
Kendrick Lamar,0.44
404Billy,0.4
D.ACE,0
Hippie Sabotage,1
Intrinsic Focus,1
Ateyaba,0.6428571428571429
Brasco & El Matador,0
Diddi Trix,0.4090909090909091
Peter Sandberg,0.375
ICO,0.1891891891891892
K/DA,1
B-NØM,0.8125
Ashkidd,0.9090909090909091
J. Cole,0.3
Little Richard,0.09523809523809523
Ed Sheeran,0.4117647058823529
DTF,0.3684210526315789
Eddy de Pretto,0.3333333333333333
Akhenaton,0.1
Therapie TAXI,1
Larry,0.03333333333333333
Reese Willis,1
Kacem Wapalek,1
Michel Brown,1
Jaden,0.35294117647058826
Caballero,0.2727272727272727
Benny Treskow,1
Biffty,0.9565217391304348
Karin Borg,1
Logic?,0
TSR Crew,1
Relajar,1
Maxence,0
Julien Doré,0.7
U2,0.7
Flume,0.21739130434782608
Ninho,0
Gavin Luke,0.5517241379310345
James Spiteri,1
Mavis Marchena,1
Tomawok,1
Mac Tyer,0.6363636363636364
Leto,0.3333333333333333
Amity Cadet,1
Di-Meh,0.7222222222222222
Zola,0.45161290322580644
I Woks,1
GIMS,0.0625
Sinik,0.5
Alexis Ffrench,0.09259259259259259
Krisy,0.8333333333333334
Gradur,0.8333333333333334
Wejdene,1
Kendji Girac,0
Diam's,1
James Brown & The Famous Flames,0.9354838709677419
Robert Gafforelli,1
SNIPER,0.5882352941176471
Hamza,0.6956521739130435
La Secte Phonétik,1
Léon Branche,1
Rag'n'Bone Man,1
NK-67,1
Take a Mic,0.7
Rémy,0.3333333333333333
Lacrim,0.3125
Alexandra Streliski,0.11764705882352941
Biba Dupont,0.45454545454545453
Hippocampe Fou,0.9230769230769231
Matti Aalto,1
Kygo,0.5
Lunatic,0.8333333333333334
Type Beat,0
Kaarism,0.4117647058823529
Etienne Balestre,1
Olivia Belli,0.05263157894736842
Nusky,1
Joel Lyssarides,0.8181818181818182
Julius Aston,1
Kery James,0.5
Pamela Howland,0.3076923076923077
David Fischbein,1
Koba LaD,0.08695652173913043
Hermann,1
Drowning Pool,0.5
Alexander Panagopoulos,1
Denzel Curry,1
Lorage,0.9090909090909091
Marteria,0
Hatik,0.8148148148148148
Layla Frost,1
Timal,0
Travis Scott,0.5882352941176471
Giuseppe Galvetti,1
Set&Match,0
Soso Maness,0
2zer,1
Zamdane,0.5555555555555556
Our Last Night,0
MHD,0.6153846153846154
Laylow,0.2
Kyran Martin,1
21 Savage,0.3
Heinz Goldblatt,1
