artist,top
1995,0.9871794871794872
Nekfeu,0.15643802647412755
G-Eazy,0.9139784946236559
Piano Novel,0.391304347826087
Alonzo,0.08955223880597014
Joep Beving,0.5694444444444444
Halsey,0.00441306266548985
Calvin Harris,0.7540983606557377
Georges Brassens,0.84
DMX,0.675603217158177
Hugo TSR,0.36666666666666664
MZ,0.6004140786749482
Ocho,0
Bigflo & Oli,0.09915014164305949
Tristam,1
Logic,0.45652173913043476
Disiz,0.7366412213740458
Chamillionaire,0.9803921568627451
Damso,0.0774487471526196
System Of A Down,0.9138755980861244
Dr. Dre,1
L.E.J,0.9958333333333333
Infinit',0.9047619047619048
Mark Ronson,1
Guizmo,0.06593406593406594
Tata Simonyan,0.9919354838709677
Lomepal,0.2667814113597246
Eminem,0.5374564459930313
Kofs,0.7777777777777778
IAM,0.8181818181818182
Alpha 5.20,0.983739837398374
Casseurs Flowters,0.9603960396039604
Caballero & JeanJass,0
Can't Stop Won't Stop,0
50 Cent,0.5978755690440061
R. Kelly,0
Hailee Steinfeld,1
Dylan Francis,1
Orelsan,0
Alpha Wann,0.075
S-Crew,0.5391211146838156
Cypress Hill,0.9758064516129032
Slimane,0.037037037037037035
Hollywood Undead,0.46835443037974683
Soprano,0.007142857142857143
Farewell, My Love,1
Jul,0.007722007722007722
Lino,0.9257425742574258
Piotr Miteska,1
Rilès,0.4109195402298851
Major Lazer,0.9831932773109243
Drake,0.02112676056338028
LunchMoney Lewis,1
Suprême NTM,0.9947848761408083
Niska,0.013333333333333334
Russ,0.005154639175257732
DJ Abdel,1
Tengo John,0.25984251968503935
Dirk Maassen,0.42105263157894735
Snoop Dogg,0.66
Django,0.6107784431137725
Mauro Cangemi,1
Grobert,1
Stupeflip,0.4008438818565401
Mayhem,0
Nikky Santoro,1
Nate Dogg,0.9823008849557522
Imagine Dragons,0.0033444816053511705
The Sugarhill Gang,1
PNL,0.33557046979865773
Stromae,0.7127659574468085
Jok'air,0.20567375886524822
Sadek,0.2222222222222222
Saga Rosen,1
Billy Frame,1
Freeze corleone,0.18777292576419213
Roy Jones Jr.,0.993006993006993
Desiigner,0.9897959183673469
Manon Clément,0
Youlu,1
Lorenzo,0.6964856230031949
JoeyStarr,0.9810126582278481
MC Solaar,0.6990881458966566
Macklemore & Ryan Lewis,1
will.i.am,0.990990990990991
Rocé,1
PRIME,0.39655172413793105
Xzibit,0.9653179190751445
Charlie Key,0.9285714285714286
Billie Eilish,0.26143790849673204
Leonard Anderson,1
Grand Corps Malade,0.01990049751243781
Mister V,0.5909090909090909
Sinsémilia,0.8349514563106796
Josman,0.5307017543859649
Sneazzy,0.6142857142857143
Dreyma,1
OBOY,0.04
KIKESA,0.514018691588785
Elba,1
Demi-Portion,0.3241758241758242
Kuba Oms,1
Dieudonne,0
Novo Talos,1
Twenty One Pilots,0.8620689655172413
Fort Minor,1
Luciano,0
Fatal Bazooka,0.9933333333333333
Elliot Ziegler,0.8181818181818182
DJ Fresh,0
2 Chainz,0.4
Black Hippy,1
OMI,0.013888888888888888
Maes,0
PLK,0.05785123966942149
Kalash Criminel,0.9565217391304348
David Guetta,0.008264462809917356
Michael Bublé,0
Yo Gotti,0.9344262295081968
Senamo,0.7857142857142857
Spider ZED,0.5
Kekra,0.08888888888888889
I.K (TLF),0.990990990990991
La Smala,0.8571428571428571
Koral Banko,1
Ever So Blue,1
Deen Burbigo,0.2155688622754491
Ceilidh,1
Kari Bin,1
Jean Petri,1
Post Malone,0.4666666666666667
Leslie Jones,1
Lil Pump,0.058823529411764705
Ray Charles,0.5555555555555556
Rida Radar,1
Pentakill,0.9565217391304348
Seth Gueko,0.7272727272727273
Teriyaki Boyz,1
Res Turner,0.9615384615384616
Goratie,1
Haristone,0.8571428571428571
Dinos,0.6283783783783784
Vald,0.15789473684210525
Una Luna,1
Sigimund,1
SCH,0.788135593220339
Demi Portion,0.5419354838709678
Lil Nas X,0.7058823529411765
Gringe,0.9166666666666666
Alkpote,0.2784090909090909
1PLIKÉ140,0.5333333333333333
Sopico,0.5
Moha La Squale,0.48598130841121495
Sofiane,0.75
Regina Mira,1
Hornet La Frappe,0.5294117647058824
Coolax,1
Hooss,0.575
Luv Resval,0
Guru,1
Saule,1
Samuel Lindon,1
Fifth Harmony,1
Aladin 135,0.9496402877697842
Adam Lambert,1
Booba,0
Angèle,0.1
Eve,1
Lo Mimieux,0.9887640449438202
Niro,0.008264462809917356
Leo Finka,1
Davodka,0.1631578947368421
Jean-Michel Blais,0.4444444444444444
Johannes Bornlöf,0.49166666666666664
Rhiannon Bannenberg,1
13 Block,0.5833333333333334
Le Dé,0.6710526315789473
The Weeknd,0.12
Médine,0.04672897196261682
Jazzy Bazz,0.7142857142857143
Heuss L'enfoiré,0.6891891891891891
Gabriel Parker,1
A2h,0.7444444444444445
Charli XCX,0
Max Swan,1
Kalash,0.1
2Pac,0.06382978723404255
Big Sean,0
Tonie Green,1
Jeff Bright Jr,1
Luidji,0.5535714285714286
Fellows,1
Berywam,1
Espiiem,1
Bon Entendeur,1
Juliana,1
Djadja & Dinaz,0.32727272727272727
Hayce Lemsi,0.5128205128205128
JAY-Z,0.967948717948718
Lefa,0.1810344827586207
An'Om,1
Hiroshi Yamazaki,1
Oskar Schuster,0.3728813559322034
New World Sound,1
Roméo Elvis,0.24761904761904763
Greg Barley,0.5428571428571428
Fayçal,0.009523809523809525
Dooz Kawa,0.8888888888888888
Youssoupha,0.06666666666666667
Swift Guad,0.3076923076923077
RK,0.029411764705882353
Evolution of Stars,1
Marshmello,0.3333333333333333
Wiz Khalifa,0.7692307692307693
League of Legends,0.03773584905660377
Otto Wahl,1
Linkin Park,0.625
L'Or du Commun,0.9166666666666666
Kanye West,0.007042253521126761
Leyland Rogers,1
Skillet,0.5454545454545454
Oxmo Puccino,0.5384615384615384
Kaaris,0.13513513513513514
Gauvain Sers,0.7692307692307693
Hilda Atkins,1
Georgio,0.25833333333333336
null,0
Kamikaz,0.008849557522123894
Columbine,0.8347826086956521
Dosseh,0.08641975308641975
Oneke,1
Vladimir Cauchemar,1
Lord Esperanza,0.75
Age Of Spades,1
Rim'K,0.2
Vincent & A Secret,0
DA Uzi,0.4166666666666667
Silentó,1
Sam Eber,1
Caneda,1
Népal,0.65
Kylian Rebour,1
Musicboxes,1
Swing,0.8125
Francis Cabrel,1
Charles Bolt,0.9113924050632911
Fabrizio Paterlini,0.2857142857142857
Saeko Seki,1
Arden Forest,0.6
Youv Dee,0.6111111111111112
Jean Permentier,1
Doums,0.7058823529411765
Mia Strass,1
Vin's,0.06976744186046512
Calogero,0.8571428571428571
Russel F Jr,1
Irma Kantola,1
Enhancer,0.76
Meek Mill,0.3157894736842105
PSO THUG,0.35294117647058826
Charles Aznavour,1
Slimka,0
Ana Olgica,1
S.Pri Noir,0.6086956521739131
Mi Qani Hogi,0.9743589743589743
