artist,pop
Oasis,80
The Rolling Stones,82
David Bowie,81
Jimi Hendrix,74
AC/DC,84
The Beatles,89
Rage Against The Machine,75
The White Stripes,75
PJ Harvey,63
The Doors,76
The Velvet Underground,67
Massive Attack,67
Nirvana,84
Kula Shaker,48
System Of A Down,80
The Stooges,56
The Verve,69
The Stone Roses,64
The Smashing Pumpkins,75
Harry Gregson-Williams,63
London Grammar,70
Linkin Park,86
Radiohead,81
Simon & Garfunkel,75
Pixies,72
Sleigh Bells,52
Jefferson Airplane,65
Modulogeek,29
Kikagaku Moyo,48
Sonic Youth,63
Cocteau Twins,65
Stereophonics,67
Indochine,63
Iggy Pop,67
Ian Brown,51
Led Zeppelin,81
Alice In Chains,74
Rise Against,74
Fleetwood Mac,83
Pink Floyd,82
Cage The Elephant,78
The Brian Jonestown Massacre,57
Cream,66
New Order,69
Blur,71
Green Day,83
The Who,72
Kasabian,65
Yann Tiersen,68
Lynyrd Skynyrd,75
George Harrison,72
Magic Sword,49
Red Hot Chili Peppers,85
Billy Talent,68
The Charlatans,52
Orelsan,81
Temples,50
Carpenter Brut,60
Todd Masten,40
Arctic Monkeys,87
The Knife,54
Patti Smith,62
M|O|O|N,54
Fever Ray,54
Perturbator,57
blink-182,80
Suede,55
Richard Ashcroft,57
Casseurs Flowters,60
Light Club,38
Crosby, Stills, Nash & Young,65
Muse,78
Mitch Murder,49
Eminem,94
Jeff Buckley,65
The La's,64
Sum 41,73
Coldplay,92
Interpol,67
my bloody valentine,62
Sex Pistols,60
Scattle,50
America,69
Mega Drive,45
Fatboy Slim,65
Michael Jackson,85
Weezer,76
Queen,89
The Raconteurs,63
The Stranglers,62
Leonard Cohen,70
Primal Scream,59
Twenty One Pilots,85
Skread,62
Liam Gallagher,62
Dire Straits,78
My Chemical Romance,81
